Name,Duration,Genre
Descention,,Horror
Kidnap,,Thriller
Imperium,,Thriller
Towelhead,124 min,Drama
Wheelmen,93 min,Comedy
Dominion,80 min,Horror
Smashed,81 min,Drama
Bedrooms,85 min,Drama
About Alex,99 min,Drama
How High,93 min,Comedy
100 Tears,90 min,Horror
Easy Rider,95 min,Drama
Bowfinger,97 min,Comedy
Grizzli,91 min,Horror
Viruses,,Thriller
It's Alive,91 min,Horror
Gummo,89 min,Drama
Ken Park,93 min,Drama
Kids,91 min,Drama
Dark Blood,86 min,Thriller
Tetro,127 mins,Drama
Foxes,106 min,Drama
Devolved,,Comedy
King Lear,240 min,Drama
Southpaw,,Drama
Hamlet,135 min,Drama
Macbeth,140 min,"Drama,War"
I Origins,106 min,Drama
The Sitter,81 min,Comedy
Hart's War,125 min,"Drama,War"
Precious,110 min,Drama
Zero Day,92 min,Drama
Loop,85 min,Thriller
The Raven,61 min,Horror
Goats,94 min,Comedy
This Is 40,134 min,Comedy
Gunfighter,94 min,Western
The Men,85 min,Drama
Hood,100 min,Action
Funland,98 min,Comedy
Terrified,85 min,Horror
Prime Evil,83 min,Horror
Stanley,108 min,Horror
Offerings,95 min,Horror
The Forest,85 min,Horror
Tom,82 min,Drama
Timelock,90 min,Sci-Fi
Never Ever,110 min,Drama
Dead Girl,104 min,Comedy
Cavemen,88 min,Comedy
Tomboy,91 min,Comedy
Heart Beat,110 min,Drama
Dodge City,104 min,Western
The Guys,84 min,Drama
Bad Girls,99 min,Western
Copper head,1.5 hour,Drama
High Road,87 min,Comedy
Crashing,79 min,Drama
Beer fest,110 min,Comedy
Cop Car,88 min,Thriller
The Animal,84 min,Comedy
Hotel,124 min,Drama
1918,94 min,Drama
Hot Rod,88 min,Comedy
Duplex,89 min,Comedy
21 & Over,93 min,Comedy
Accepted,93 min,Comedy
The Blot,80 min,Drama
The Exiles,72 min,Drama
Frank,90 min,Family
Emelie,80 min,Thriller
Fyre,90 min,Drama
I Am,89 min,Drama
Exit 33,89 min,Horror
Big Baby,82 min,Family
Superfast!,99 min,Comedy
Final Exam,89 min,Horror
Quiet Cool,80 min,Action
Wrong Turn,84 min,Horror
Grandma,79 min,Comedy
Babysitter,80 min,Comedy
Honeymoon,90 min,Drama
Fair Play,,Drama
Lucky Dog,,Family
Time Toys,,Family
Lift Me Up,,Family
Test,89 min,Drama
Night Eyes,80 min,Thriller
Boulevard,88 min,Drama
A Teacher,75 min,Drama
The DUFF,101 min,Comedy
Neighbors,94 min,Comedy
Boyhood,165 min,Drama
Boychoir,103 min,Drama
Strapped,95 min,Drama
The Master,144 min,Drama
Shhhh,,Comedy
Glamarus,70 min,Drama
Liquid Sky,112 min,Sci-Fi
Exeter,,Horror
Dead Still,94 min,Horror
Terrifier,,Horror
Lying,94 min,Drama
NÃÂ³madas,100 min,Drama
Horror,,Horror
Muck,90 min,Horror
Saw 3D,,Horror
Barquero,115 min,Western
Porky's,94 min,Comedy
Country,105 min,Drama
Far North,90 min,Drama
The River,122 min,Drama
Norma Rae,114 min,Drama
Tomcats,95 min,Comedy
Fired Up,90 min,Comedy
Indigenous,86 min,Horror
Vile,90 min,Horror
Big Sur,81 min,Drama
Luna,142 min,Drama
Oculus,104 min,Horror
Exist,81 min,Horror
The Cellar,85 min,Horror
Cadence,97 min,Drama
Squirm,92 min,Horror
Evilspeak,97 min,Horror
Death Spa,88 min,Horror
The Slayer,80 min,Horror
Shark Lake,92 min,Thriller
Headless,85 min,Horror
Red Heat,104 min,Thriller
Low Tide,92 min,Drama
Don't Look,71 min,Horror
Interstate,80 min,Thriller
Ouija,89 min,Horror
My Life,117 min,Drama
Morgan,89 min,Drama
The Falls,91 min,Drama
Dog Tags,90 min,Drama
eCupid,95 min,Romance
Role/Play,85 min,Drama
Pit Stop,80 min,Drama
Luna Park,75 min,Drama
Wrecked,73 min,Drama
Dead Story,,Horror
Dead Stop,,Horror
Crusoe,91 min,Drama
Chosen,90 min,Thriller
ColdWater,86 min,Thriller
Asylum,93 min,Horror
Venom,87 min,Horror
The Victim,83 min,Thriller
Envy,99 min,Horror
Bio-Dome,88 min,Comedy
Encino Man,88 min,Comedy
Maladies,96 min,Drama
Sleepover,89 min,Comedy
Labor Day,111 min,Drama
The Ten,96 min,Comedy
A.C.O.D.,88 min,Comedy
Pariah,86 min,Drama
Ride,93 min,Comedy
Camp X-Ray,117 min,Ward
Regression,106 min,Thriller
Volunteers,107 min,Comedy
Protocol,96 min,Comedy
Deceived,104 min,Thriller
13 Ghosts,85 min,Horror
Mojave,93 min,Thriller
Gidget,95 min,Comedy
Margaret,150 min,Drama
The Sector,,Crime
Unhinged,79 min,Horror
iCrime,102 min,Thriller
Shiver,91 min,Thriller
Convict,,
The Runner,90 min,Drama
Xavier,,Short
Clown,65 min,Horror
Sun Choke,83 min,Horror
Alibi,91 min,Crime
Suzy,93 min,Drama
Ada,109 min,Drama
Jacknife,102 min,Drama
Blowback,91 min,Thriller
So Fine,90 min,Comedy
Alley Cat,82 min,Action
Ned Rifle,85 min,Drama
Meanwhile,,Drama
The Rage,85 min,Horror
Fair Game,88 min,Drama
Osa,92 min,Sci-Fi
Joy sticks,88 min,Comedy
+ One,,Short
99 Home,112 min,Drama
